Building/  Project Name,Street Name,Postal District,Type,No. of Bedroom  (for Non-Landed Only),Monthly Rent  ($),Floor Area (Sqft)  1,Lease  Commencement  Date
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,2000,500 to 600,Jun-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,1850,500 to 600,Jun-21
1 MOULMEIN RISE,MOULMEIN RISE,11,Non-landed Properties,3,5000,1200 to 1300,Jun-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,3,3300,1300 to 1400,Jun-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,2100,500 to 600,Jun-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,1700,500 to 600,Jun-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,2100,600 to 700,Jun-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,2250,500 to 600,May-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,1950,700 to 800,May-21
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,4,3100,1200 to 1300,May-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,3,3200,1000 to 1100,May-21
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,3,2500,900 to 1000,May-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,2100,500 to 600,May-21
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,4,3550,2200 to 2300,May-21
1 MOULMEIN RISE,MOULMEIN RISE,11,Non-landed Properties,3,4300,1200 to 1300,Apr-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,2050,500 to 600,Apr-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,2000,500 to 600,Apr-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,2600,500 to 600,Apr-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,1900,500 to 600,Apr-21
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,2,2800,1000 to 1100,Apr-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,2600,500 to 600,Apr-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,2000,500 to 600,Apr-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,1950,500 to 600,Apr-21
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,1,2000,800 to 900,Apr-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,2480,500 to 600,Apr-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,2300,600 to 700,Apr-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,2400,500 to 600,Apr-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,3,3450,1300 to 1400,Apr-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,2500,500 to 600,Apr-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,2000,500 to 600,Apr-21
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,3,3500,1400 to 1500,Apr-21
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,2,3200,1100 to 1200,Apr-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,2000,500 to 600,Apr-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,2700,500 to 600,Mar-21
